HotelId,Restaurant Name
107,Shogun Japanese Steak House
108,The Catch Seafood Room & Oyster Bar
110,Villa Gargano
111,3 Squares Diner
112,Whitebull Hotel
113,Last Resort Grill
114,Mama's Boy Restaurant
116,Sr. Sol 1
117,Choo Choo Eastside
118,The Grill
119,Big City Bread Cafe
121,Clocked
122,DePalma's Italian Cafe - Downtown
123,DePalma's Italian Cafe - East Side
124,Five & Ten
125,Grit
126,Ike & Jane
129,La Dolce Vita Ristorante
130,Shokitini
131,Taqueria Del Sol
132,The National
135,The Royal Peasant
137,Transmetropolitan
140,Trappeze Pub
141,Viva! Argentine Cuisine
144,Miyabi Kyoto Japanese Steak House
145,Rae's Coastal Cafe
146,The Bee's Knees
147,Boll Weevil Cafe
148,Farmhaus Burger
149,Manuel's Bread Cafe
150,Sconyers Bar B Que
151,Frog Hollow Tavern
152,Giuseppe's Pizza & Italian Specialities
153,Mellow Mushroom
154,Nacho Mamas Burritos
155,Rhinehart's Oyster Bar
156,Takosushi
157,The Chop House
158,The Taj of India
159,Augsburg Haus
160,Pho Bac
161,Rhinehart's Oyster Bar
162,Thai Kitchen
163,El Kiosco Mexican Restaurant
164,Taste of Balingup
165,Bridge Road Brewers
166,Bardenay
167,Flatbread Neapolitan Pizzeria
168,Goldy's Breakfast Bistro
169,Chandlers Steakhouse
170,Bar Gernika Basque Pub & Eatery
171,Barbacoa Restaurant
172,Big Jud's
173,Bittercreek Ale House
174,Boise Fry Company
175,Flying Pie Pizzaria
176,Fork
177,Guido's Original New York Style Pizza
178,Los Beto's
179,Lucianos Italian Restaurant
180,Mai Thai Restaurant
181,Shige Japanese Cuisine
183,The Egg Factory
184,Tucanos
185,Texas Roadhouse
186,Brick 29
187,Winifreds
188,Biaggi's Ristorante Italiano
189,El Super Burrito
190,Granite City Food & Brewery
191,Irish Democrat
193,Taste of India
194,Thai Moon Restaurant
195,Ting's Red Lantern
196,Monica's
198,Exotic India
199,Shorts Burger and Shine
200,The Hamburg Inn No. 2 Inc.
201,Bluebird Diner
202,Graze
203,A & A Pagliai's Pizza
204,Atlas World Grill
205,BlackStone
206,Devotay
207,Jimmy Jack's Rib Shack
208,Zoeys Pizzeria
209,Tokyo Sushi
211,Berry Patch Restaurant
213,Sakura Sushi & Grill
214,Uptown Vietnam cuisine
215,Cafe Le Rue @ The Landings
216,Mark's City Grille
217,B Merrell's
218,Cannon Brewpub
219,Fuji Japanese Steak House
220,Ruth Ann's Family Restaurant
222,Samurai Japanese Cuisine & Sushi Bar
223,Wasabi Sushi and Thai
224,Buckhead Bar and Grill
225,Burt's Butcher Shoppe and Eatery
227,Chef Lee's Peking Restaurant
228,Country's Barbecue
229,Deorio's
230,Mellow Mushroom
231,Meritage
232,Mongo The Mongolian Fire Pit
233,The Black Cow
234,Wood Stone
235,Hunter's Pub
236,Consort Restaurant
237,Thatcher's Barbeque and Grill
238,Christian and Jake's Bistro
239,Dub's High on the Hog
240,Sierra's Mexican Restaurant
241,Oakwood Cafe
242,Chili's Grill & Bar
243,Fuji Japanese Steakhouse
244,Las Palmas
245,Tony's Italian Restaurant & Pizza
246,Filling Station
247,Five Guys Burgers and Fries
248,Los Pablos
249,Kobe Hibachi & Sushi
250,Soho Hibachi
251,Thai Garden
252,Southern Bliss Bakery
253,Bailey's Bar-B-Que
254,Farm To Fork
255,Home Plate Grill
256,Pie Slingers Pizzeria
257,Olive Tree Cafe
258,"Red Ginger Sushi, Grill & Bar"
259,Crust Stone Oven Pizza
260,Jimmy's Pancake House
261,Trattoria Tiramisu
262,Prairie Grille at SteepleGate Inn
263,Tantra Asian Bistro
264,Chick-fil-A
265,Duck City Bistro
266,Frick's Tap
267,Los Agaves
268,Azteca
269,China Cafe
270,Exotic Thai Restaurant
271,Front Street Brewery
272,Granite City Food & Brewery
273,Los Agaves
274,Machine Shed Restaurant
275,Osaka
276,Texas Roadhouse
277,Hickory Park
278,The Cafe
279,Flying Mango
280,Cool Basil
281,HuHot Mongolian Grill
282,Malo
283,Centro
285,Fong's Pizza
287,A Dong Restaurant
288,Court Avenue Brewing Company
289,Django
290,Miyabi 9
291,Zombie Burger + Drink Lab
292,Tursi's Latin King
293,Tsing Tsao South
294,Bandit Burrito
295,Jethro's BBQ
296,The Machine Shed Restaurant
299,Mi Patria
300,Waterfront Seafood Market
301,The Giggling Goat
302,Burnt Toast Cafe
303,Catfish Charlie's
304,Salsa's Mexican Restaurant
305,Tony Roma's
306,Vinny Vanucchi's
307,Champps Americana
308,Fiesta Cancun
309,Happy Joe's Pizza & Ice Cream
312,Houlihan's
313,Ichiban Hibachi Steakhouse & Sushi Bar
314,Kalmes Breaktime Bar & Grill
315,L. May Eatery
316,Los Aztecas
317,Manna Java World Cafe
318,Mario's Italian Restaurant
319,Pepper Sprout Incorporated
320,Shot Tower Inn
321,Sunshine Family Restaurant
322,Watershed Cafe
324,Woodfire Grille
325,The Belle General
326,Jehova es Mi Pastor Tacos y Burritos
327,Flaxton Gardens
328,Bespoke Harvest
329,Houndstooth Grill & Tavern
330,Hawg Wild BBQ & Catfish House
331,Bourbon Street Grille
332,Corkscrew Cafe
333,Smokin Gold BBQ
334,Hoka-Hoka Japanese Steak & Sushi
335,Shenanigan's Irish Pub
336,Fish Tales Lakeside Grille
337,Antebellum
338,Moonie's Texas Barbecue
339,Atlanta Highway Seafood Market
340,Eat at Thai
341,Smoke House BBQ and Catering
342,2 Dog
343,Longstreet Cafe
344,Re-Cess
345,Bodensee
346,Hofer's Bakery & Cafe
347,Troll Tavern
348,The Nacoochee Village Tavern & Pizzeria
349,Blue Bean Love Cafe
350,La Trattoria of Lavandula
351,5 Little Pigs
352,Beach Box Cafe
353,Funkey Monkey
354,Burger Queen Drive In
355,Blue Orchid Thai Restaurant
356,Stillwater on Belmore
357,Mr.
358,Emilio's Cuban Cafe
360,Ingleside Village Pizza
361,Jim Shaw's Seafood Grill & Bar
362,Mandarin Chinese Restaurant
363,Rookery
364,Dovetail
365,Bonefish Grill
366,Downtown Grill
367,Greek Corner Deli
368,Natalia's
369,Papouli's Mediterranean Cafe & Market
370,Benson's Steak and Sushi
371,My Fathers Place
372,Sushi Thai Restaurant
373,The Mellow Mushroom
374,El Jalisciense Mexican Restaurant
375,Greek Village
376,Martin's BBQ
377,Thai Pepper
378,Zen Japanese Steakhouse and Sushi Bar
379,Star Buffet
380,Triangle Restaurant
381,Three Anchors
382,HI Lite Bar & Lounge
383,Vince's Restaurant & Pizzeria
384,Poets Cafe
387,The Artesian Restaurant
388,Ceví_che Tapas Bar & Restaurant
389,'Ohana
390,Earl of Sandwich
391,Raglan Road Irish Pub and Restaurant
392,Cafí© Tu Tu Tango
393,Texas de Brazil
401,Bahama Breeze Island Grille
405,Maggiano's Little Italy
407,Hawkers Asian Street Fare
408,Tako Cheena by Pom Pom
409,Seasons 52 Fresh Grill
410,Hollerbach's Willow Tree Cafí©
412,Pom Pom's Teahouse and Sandwicheria
413,Yellow Dog Eats
414,Tibby's New Orleans Kitchen
415,The Coop
416,Bosphorous Turkish Cuisine
417,Ethos Vegan Kitchen
418,Hillstone
419,The Ravenous Pig
420,Vivo Bar and Grill
421,Pier 70
422,DiVine
423,Cactus Flower Cafe Navarre
424,McGuire's Irish Pub & Brewery
425,New Yorker Deli & Pizzeria
426,Tu-Do Vietnamese Restaurant
427,Carrabba's Italian Grill
428,Jaco's Bayfront Bar and Grille
429,The Tin Cow
431,Cactus Flower Cafe
432,Dharma Blue
433,Global Grill
434,Ichiban
435,The Fish House
436,Tuscan Oven
437,Flounders Chowder House
438,Hemingway's Island Grill
439,Native Cafe
440,Peg Leg Pete's
441,The Grand Marlin
442,Original Georgios Authentic Greek Food
443,Fisherman's Corner
444,Mad Cowes Cafe
445,Rupes Burgers
446,Texas Roadhouse
447,Riverwalk Cafe
448,Royal Hotel
449,Buddy's Italian Restaurant
450,Butterburrs
451,Chang Garden
452,Fifth Street Bagelry
453,Goody's Deli
454,Grecian Key Restaurant
455,Outer Limits Fun Zone
456,Portneuf Valley Brewing
457,Sandpiper Restaurant & Lounge
458,Senor Iguanas
459,Sushi Family
460,Taste of India Nepal
461,Thai Paradise
463,The Bridge
464,Nosh Mahal
465,El Herradero
466,Barrett Junction Cafe
467,Blue Point Grill
468,Giovanni's Shrimp Truck
469,Kona Brewing Company
470,Leonard's Bakery
471,Coconuts Fish Cafe
472,Kihei Caffe
473,Monkeypod Kitchen by Merriman
474,Sansei Seafood Restaurant & Sushi Bar
475,Star Noodle
476,Aloha Mixed Plate
477,Gazebo
479,Hula Grill
480,Kimo's
481,Mama's Fish House
482,Marukame Udon
483,Yard House
484,Lulu's Waikiki
485,Duke's Waikiki
486,Eggs 'n Things
487,Roy's
488,Wailana Coffee House
489,The Lady & Sons
490,Green Truck Pub
491,Leopold's Ice Cream
492,Mrs. Wilkes' Dining Room
493,Zunzi's
494,Moon River Brewing Company
495,Pirates' House Restaurant
496,B. Matthew's Eatery
497,Crystal Beer Parlor
498,Goose Feathers Cafe and Bakery
499,Henry's
500,Huey's On The River
501,J. Christopher's
502,Lulu's Chocolate Bar
504,Rocks on the River
505,SOHO South Cafe
506,The Olde Pink House
507,Vic's On The River
508,The Crab Shack
509,Tybee Island Social Club
510,Sky On 57
511,Cut By Wolfgang Puck
512,Restaurant Andre
513,Potato Head Folk
514,Jaan
515,Rhubarb Le Restaurant
516,Al'frank Cookies
517,Fratini La Trattoria
518,Boufe Boutique Cafe
519,The Refinery Singapore
520,Chye Seng Huat Hardware
521,Makansutra Gluttons Bay
522,Colony
523,Summer Pavilion
524,The Lokal
526,I Am
527,Super Loco
528,Artistry
529,Bitters & Love
531,Artichoke Cafe
532,Archie's Waeside
533,Bob Roe's Pizza
534,Da Kao Restaurant
535,Famous Dave's
536,Fuji Bay Japanese Restaurant
537,HuHot Mongolian Grill
538,Hunan Palace
539,Jerry's Pizza
540,Jim's Burgers
541,Johnnie Mars
542,Miles Inn
543,Milwaukee Wiener House
544,Minerva's Food & Cocktails
546,Monterrey Mexican Restaurant
547,Rebos
548,Tokyo Japanese Steakhouse & Sushi Bar
549,Diamond Thai Cuisine
550,El Fredo Pizza
551,Trattoria Fresco
552,Kahill's Steak-Fish Chophouse
553,Rumba Island Bar & Grill
554,Red Mesa Cantina
555,BellaBrava
556,Ceviche Tapas Bar & Restaurant
558,The Moon Under Water
559,Bern's Steak House
561,Boca Kitchen Bar Market
562,Edison: Food+Drink Lab
563,Ceviche Tapas Bar & Restaurant
564,Daily Eats
565,Salt Rock Grill
567,Mazzaro's Italian Market
568,Conch Republic Grill
569,Mr. Dunderbak's Biergarten and Marketplatz
571,Red Mesa Restaurant
573,Datz
574,Ella's Americana Folk Art Cafe
575,Taco Bus
577,The Refinery
580,Columbia Restaurant
581,1918 Bistro & Grill
582,Pig and Whistle
585,Buffalo Wild Wings
586,El Toreo Mexican Restaurant
587,306 North Restaurant
588,Austins Cattle Co
589,Beijing Cafe
590,Bleu Cafe
592,Bleu Pub
593,Bubba Jax Crab Shack
594,Cheddar's Scratch Kitchen
595,El Cazador
596,Friends Grille and Bar
597,Giulios Greek & Italian Restaurant
599,La Jalisco Supermercato
600,Masato Japanese
603,Mom & Dad's Italian Restaurant
605,Mori's Japanese Steakhouse & Sushi Bar
606,Passage 2 India
608,Rodeo Mexican Restaurant
609,Steel Magnolias
610,Smok'n Pig B-B-Q
611,Blue House Cafe
612,Anchorage Cafe Restaurant Wine Bar
613,Lake House Restaurant
614,Masala Grill & Coffee House
615,Brown Bottle The Cedar Falls
616,Four Queens Dairy Cream
617,Hong Kong Chinese Restaurant
619,HuHot Mongolian Grill
620,J's Homestyle Cooking
621,Montage
626,Mulligan's Brick Oven Grill
627,Sakura
628,Scratch
630,SOHO Sushi Bar & Deli
631,Texas Roadhouse
632,Tony's La Pizzeria
633,Chapala
635,Galleria de Paco
637,Golden China
638,Rudy's Tacos
639,The Screaming Eagle
640,The Thai Bowl
647,Tokyo Japanese Steak House
648,Theo Yianni's Authentic Greek Restaurant
650,Fishpatrick's Crabby Cafe
651,Arigato Sushi
653,Denny's
656,Famous Dave's Barbecue
659,Pizza Di Rocco
661,Sofra Istanbul
662,Salt
663,Genghis Grill
664,Olive Garden
665,Cho Gao - Crowne Plaza Abu Dhabi
667,Gazebo
668,Sangeetha Vegetarian Restaurant
670,Hot Palayok
671,Applebee's
673,Tikka Tonight
674,Bait El Khetyar
678,Indian By Nature
679,Via Delhi
680,Punjab Grill
681,Tamba
685,P.F. Chang's
687,The Cheesecake Factory
688,The Farm
690,Maharaja Bhog
691,Rasoi Ghar
692,Barbeque Nation
694,Farzi Cafe
695,AB's Absolute Barbecues
696,Carnival By Tresind
697,AB's Absolute Barbecues
698,Hard Rock Cafe
700,The Coffee Club
702,SALT
703,Din Tai Fung
704,SpiceKlub
705,Tresind - Nassima Royal Hotel
707,Grand Barbeque Buffet Restaurant
708,Red Lobster
709,The Cheesecake Factory
710,Parker's
711,Applebee's
714,Grub Shack
715,Kamat
718,Vadakkan Pepper
719,Gazebo
720,Katis Restaurant
721,Zaroob
722,Derby
724,Nayaab Haandi
725,Najmat Lahore Restaurant
726,Saffron
728,Pizza Hut
731,Al Mukhtar Bakery
733,Aroos Damascus
735,Nando's
736,Peking Chinese Restaurant
737,TGI Friday's
741,Rajasthan Al Malaki
742,Applebee's
743,Paper Fig
745,Sis Burger
746,Crafted Blends
747,Jahanpanah
748,Rangrezz Restaurant
750,Time2Eat - Mama Chicken
753,Chokho Jeeman Marwari Jain Bhojanalya
754,Pinch Of Spice
755,MoMo Cafe
756,Peshawri - ITC Mughal
757,Taj Bano - ITC Mughal
759,G Thal
760,Dawat-e-Nawab - Radisson Blu
761,The Latitude - Radisson Blu
762,Dasaprakash Restaurant
764,The Charcoal Chimney
765,Sheroes Hangout
766,Bon Barbecue
767,Chapter 1 Cafe
769,Pind Balluchi
775,Pizza Hut
778,Tea'se Me - Rooftop Tea Boutique
779,Thaaliwala
780,650 - The Global Kitchen
781,Patang - The Revolving Restaurant
782,Huber & Holly
783,@Mango
784,Fozzie's Pizzaiolo
785,La Pino'z Pizza
786,Mocha
787,Blue -  Rooftop Cafe Restaurant Bistro
788,MoMo Cafí© - Courtyard By Marriott
793,Cryo Lab
798,Swati Snacks
799,Brick Kitchen
800,Kabir Restaurant
801,Puffizza
802,Cafe Alfresco
803,The Cafe Baraco
804,Nini's Kitchen
805,Yanki Sizzlers
806,The Garden Cafe - The Fern
808,Mazzo
809,Turquoise Villa
810,Aryan Family's Delight
813,Bean Here
816,Bikanerwala
818,Dewsis
820,Friends Forever
824,Hotel Ravisha Continental
828,KFC
829,McDonald's
830,Pind Balluchi
831,Pizza Hut
832,Subway
833,Tandoor Restaurant
834,The BrewMaster
835,The Tamarind Tree
836,Cafe El Chico
837,Eat On
838,Hot Stuff
839,Paradise
840,Sagar Ratna
841,Moti Mahal Delux
842,Makhan Fish and Chicken Corner
844,Charming Chicken
845,Ahuja Milk Bhandar
846,Crystal Restaurant
848,Brijwasi Chat Bhandar
849,Bubby Fish & Chicken Corner
850,Bon Gateau
851,The Yellow Chilli
852,La Roma Pizzeria
854,Sakhis Watz Kukin
858,The Kulcha Land
861,Shudh Restaurant
864,Bade Bhai Ka Brothers' Dhaba
865,Bharawan Da Dhaba
866,Brothers Dhaba
867,Brothers' Amritsari Dhaba
869,Gurdas Ram Jalebi Wala
870,Kesar Da Dhabha
872,Beera Chicken Corner
875,Surjit Food Plaza
876,Kanha Sweets
879,Kream N Krunch
880,Balbeer's Kitchen & Bar
881,Angeethi Restaurant
882,Domino's Pizza
885,Hotel Laadli
886,Indiana Veg Restaurant
888,Madhuban Restaurant - Welcome Hotel Rama International
889,Mauj Restaurant
891,Naivedya
892,d' Curry House
893,Mokoholic Juice Bar
896,Ashoka's Veg Restaurant
897,Kareem's Fine Dining
898,That Baat
899,Bhoj Restaurant
900,Downside Up
901,Kareem's Kabab & Biryani
902,Great Sagar Restaurant
903,Kailash Restaurant
904,Yalla Yalla
905,Sultans of Spice
906,The Fatty Bao - Asian Gastro Bar
907,Toit
908,Three Dots & A Dash
909,Bombay Brasserie
910,Glen's Bakehouse
911,Onesta
912,Onesta
913,ECHOES Koramangala
914,Truffles
915,The Black Pearl
916,Eat Street
917,Koramangala Social
918,AB's - Absolute Barbecues
919,Flechazo
920,Onesta
921,Communiti
922,Big Brewsky
923,Hoot
924,Farzi Cafe
926,Black N White Cafe
927,Maybe There
928,Sagar Gaire Fast Food
929,The Kasbah
930,Bake N Shake
931,10 Downing Street
932,Chi Kitchen
933,Pizza Hut
934,Kafe Kulture
935,Violet Hour
936,Bapu Ki Kutia
937,Da pizzeria
938,Papa Mexicano
939,Bake N Shake
940,Manohar Dairy And Restaurant
941,Manohar Dairy And Restaurant
942,Kebabsville - Sayaji Hotel
943,Indian Coffee House
944,The Urban Socialite
945,Bake N Shake
946,Tyre Patty
947,Silver Streak
948,Barbeque Nation
949,Central Perk 7
950,The Chicken Dinesty
951,Taste Of China
952,Michael's Kitchen
953,Mamma Mia - Mayfair Lagoon
954,99 North Restaurant
955,Adda
956,Chill Ummm
957,Lal Qila
960,Richard's Kitchen & Coffee Bar
961,Aangan Horizon
962,Brewberrys The Coffee Bar
963,Chai Break
964,JUGAAD JN.
965,Cha cTea
966,Food Fever
968,Mainland China
969,Eram Rooftop
970,The Night Factory
971,Brooklyn Central
972,Chili's
973,Kylin Experience
976,Mocha
980,Pirates of Grill
981,Barbeque Nation
982,TGI Friday's
984,Pal Dhaba
986,Midnight Chef
987,Nik Baker's
988,OvenFresh
990,Super Donuts
991,Taco Bell
992,Karim's
994,Virgin Courtyard
996,Burgrill
997,Uncle Jack's
998,That Madras Place
999,Haunted
1003,Pantry d'or
1004,Palmshore
1005,Chili's
1006,Writer's Cafe
1007,Fusilli Reasons
1008,Ciclo Cafe
1009,Kaidi Kitchen
1010,Bombay Brasserie
1011,Maplai
1012,Paradise
1013,L'amandier
1014,Palmshore
1015,Palmshore
1016,Basil With A Twist
1017,Barbeque Nation
1018,AB's - Absolute Barbecues
1019,Coal Barbecues
1020,Pind
1021,Kuchi n Kream
1022,Haribhavanam Hotel
1023,Kites Cafe
1024,Zucca Pizzeria
1025,Burger Ka Baap
1026,The Cascade Restaurant
1027,24 Plus Cafe & Restaurant
1028,Valarmathi Kongunaatu Samayal
1029,Bird On Tree
1030,Tim's Bistro
1031,Batlivala & Khanabhoy
1032,Cafe Totaram
1033,Cream Centre
1034,On The Go
1035,Sree Annapoorna
1036,That's Y Food
1037,CakeBee
1040,Yari
1041,Cream Stone
1042,Barbeque Nation
1043,The Punjabi Essence Restaurant
1044,Tirupati Restaurant
1046,Anandam
1047,Town Table Restaurant
1049,Kalsang Friends Corner
1050,The Great Indian Pub
1051,BMG - All Day Dining
1053,Punjab Grill
1054,TBistro
1055,Y Cafe & Restaurant
1056,Eddie's Patisserie
1057,First Gear Cafe
1059,Dunkin Donuts
1060,Doon Darbar
1061,Razzmatazz
1063,Barbeque Nation
1064,Black Pepper Restaurant
1066,Cafe Marigold
1067,Jalapenos
1068,Kalsang AMA Cafe
1069,Desire Foods
1073,Knight Rock
1076,Punjab Restaurant
1077,Raju Dhaba
1078,Rakheja Bakery
1079,Snax Points
1080,Aggarwal Sweet Corner
1081,Kashyap Vaishno Dhaba
1082,Total Food Court
1083,The Chaiwalas
1084,Cafe And More
1085,Green Chick Chop
1086,Kolkata Hot Kathi Rolls
1087,Aapki Rasoi
1088,Fusion Food Corner
1089,Punjabi Rasoi
1090,Kebab Xpress
1091,McDonald's
1092,Suruchi
1093,Berco's
1094,Dunkin' Donuts
1095,The Chocolate Room
1096,Baskin Robbin
1097,Popcorn Fusion
1099,Subway
1100,KFC
1101,Barbeque Nation
1103,Yo! China
1104,Giani's
1105,Momo-Cha
1111,Shree Rathnam
1112,Mirage Restro Bar
1113,Jai Jagannath Hotel
1114,Gelato Vinto
1120,Maggi Point
1123,Angaar
1124,TcozY
1125,The Retriever
1126,Bangali Sweets & Restaurant
1127,Silver
1128,Chill 'N Grill
1129,Punjabi Restaurant
1130,Standard Chicken Point
1131,The Grillz & Gravy
1132,Cakes 'n Bakes - Park Plaza
1133,Cafe Bite
1135,Cafe Light
1136,Little Cafe
1137,Momo-Cha
1145,Oregano India
1147,Sagar Bakery
1148,Smugglers
1150,Welcome
1151,Giani's
1152,Invitation
1153,New Dilight
1154,Chimney
1161,Chopstick
1162,Hot & Tasty Chinese Food
1163,Sanjha Chulha
1164,Frontier
1165,Oxy Lounge
1167,City Dhaba
1168,Garam Masala
1169,Mittal Fast Food
1171,Al Bake
1172,Anupam Sweet
1173,Cafe Coffee Day
1174,Chicago Pizza
1175,Crispy Crust
1176,Frontier
1177,Gulab
1178,Hunger Cure Express
1179,Maitre Patissier
1180,Momo-Cha
1181,Nirula's
1183,The Grub House
1184,Twenty Four Seven
1185,Cafe Parmesan
1186,Briosca
1187,Burger Point
1188,Cafe Grub Up
1189,Cakes At Bhawanas
1190,Chaudhary Bhojnalaya
1191,Chickenette
1192,Giani
1193,Green Chick Chop
1194,Hash Stix
1196,Juice On Go
1197,Keventers
1198,MD's Kebabs & Curries
1199,Perfect Bake
1200,Perfect Bake
1201,Sethi's Delicacy
1202,Subway
1203,Cafí© Bogchi
1204,Ashoka Restaurant
1206,Baskin Robbins
1207,China Hot Pot
1208,Handi Chhadeyan Di
1209,Hungrill
1210,Kant Khana Khazana
1211,Open Yard
1212,Recipe Badshah
1213,The Chai Cafe
1214,Apna Restaurant
1215,Chaudhary Chaap & Chinese
1216,Chings Chinese
1217,Food On Wheels
1218,Gulshan Hotel
1219,Maa Kali Foods
1220,The Street Kitchen
1221,United Kitchen
1222,Eat N Treat
1223,Hotel Ekant
1224,Momo-Cha
1225,Paradise Inn
1226,Red Chilli
1227,Shiv Restaurant
1228,Sohan Sweets & Namkeen
1230,The Binge Box Cafe
1231,Tmos Moving Feast
1232,Tmos Cafe Corner
1233,Parkash Dhaba
1234,Sanjha Chulha
1235,Hareram Bikanerzaika
1236,Kulcha Paaji
1237,Shree Bikaner Misthan Bhandar
1238,"The Hub - Gourmet, Bakers & More"
1240,Anand Dhaba
1241,Bikaneri Sweets & Restaurant
1242,Delicieux Ice Cream Rolls
1243,Flying Tandoor
1244,Food Station
1245,Grub Hub
1246,Punjabi Chulha
1247,Purani Dilli Da Swad
1248,The BBQ Garden
1249,The Chaiwalas
1250,Funk House Cafe
1251,Shiksha Fast Food
1252,Hungry Head
1253,Tandoori Hut
1254,Lalit Kathi Rolls Momos
1255,Tamasha In Tafree
1256,Oh My!
1257,Butter & Grace
1258,Green Chick Chop
1259,Snacks Bar
1260,Ahata
1261,Fritrolla
1262,KitchenYard
1263,Meghansh Bakery
1264,Oh My !
1265,The Dark Hour - Kitchen
1266,Anupama Sweets & Family Restaurant
1267,Shree Rathnam
1268,Bikaner Misthan Bhandar
1269,King's Kitchen
1270,Muradabadi Chicken Biryani Corner
1271,The Black Kettle
1272,Desi Tadka
1273,Destination Live
1274,Kay's Bake Land
1275,Kay's Food Land
1276,Laziz Restaurant
1277,Le Chef Restro Bar
1278,Republic of Chicken
1279,Tanishka Restaurant & Caterers
1280,The Tandoori Times
1281,Twist of Italy
1282,Aggarwal Sweets And Caterers
1283,Biryani Bot
1284,Cafí© Kitchen
1285,Evergreen Sweets & Restaurant
1286,Magic Spice Wok
1287,Magical Momos
1288,Sam's Bake Shop
1289,Shri Bikaner Misthan Bhandar
1290,Tasty Dhaba Family Restaurant
1291,U & I
1292,Cravings
1293,Evergreen Tandoori Night
1295,Prelibato
1296,Aravali Owls
1297,Chicken Inn Family Meat Shop
1298,Mother's Kitchen
1299,Domino's Pizza
1300,Green Chick Chop
1301,Punjabi Culture
1302,Three Olives
1303,Aggarwal's Bikaner Mishthan Bhandar
1304,Aravalli Owls
1305,Chatny Delight
1306,Harmann Restaurant
1307,Kulcha King
1310,Royal Bakers
1311,Touch of Spice
1312,Hunger Cure
1317,Sanjha Chulha
1320,Queens Cakes
1321,Sri Meenakshi South Indian Food
1322,Sardar A Pure Meat Shop
1323,Invitation Restaurant
1324,Kaushik Bakery
1325,Rama Vaishnav Bhojnalaya
1326,Shiv Saras Vyanjan
1327,Shree Bikaner Misthan Bhandar
1328,Shree Bikaner Misthan Bhandar
1329,Standard Family Restaurant
1330,The Hunger End
1331,Pizza Express
1332,Anupam Sweets & Restaurant
1333,Caramel
1334,Chaska Restaurant
1335,Club Pizzeria
1336,Gupha
1337,Indian Gourmet
1339,Tandoori Zaaika's
1340,TCD Cake & Bake
1341,The Grill Darbar
1342,Urban Cuisine
1343,Mister Mughal
1344,The Hub
1345,Bake Your Dreamz
1346,Green Chilly Chinese Food
1347,Mom's Kitchen
1348,The Baking Treats N More
1349,Twin Brothers
1350,Aggarwal Sweets Centre
1351,Bawarchi
1352,D ART of Flavour
1353,Italia Cafe by Aura
1354,Pizza Street
1355,Rock Cafe
1356,Sardaar Ji Chaap & Rolls
1357,Spice Wok
1358,Vrindavan Sweets & Restaurant
1359,Yummy Cake
1361,Bikaner Sweets & Bakers
1363,Burger Xpress
1365,Da Pizza Zone
1366,Finger Licious
1367,Med E Taste
1369,Punjabii Tandoor
1370,Shankar Sweets
1371,Tasty Bites
1372,The Street- Curries & Grills
1373,Bakers Delight - The Atrium
1374,On The Rocks - The  Atrium
